File Extension,Ransomware,Present in other programs,Program type
lalabitch,Unidentified,N,
Ouchachia,Unidentified,N,
reaGAN,Unidentified,N,
Persephone666!,Unidentified,N,
xolzsec,Unidentified,N,
ERIS,Unidentified,N,
derp,Derp,N,
four,Unidentified,N,
rapid,Unidentified,N,
*cry,Unidentified,N,
katyusha,Unidentified,N,
zemblax,Unidentified,N,
encoded_PL,Unidentified,N,
saved,Unidentified,N,
fdcz,Unidentified,N,
EnyBenied,Unidentified,N,
xp10-ransom,Unidentified,N,
n3tw0rm,Unidentified,N,
pedro,Unidentified,N,
file0locked,ZCRYPT,N,
ravack,Unidentified,N,
beets!Ransom,Unidentified,N,
master,Unidentified,N,
ChernoLocker,Unidentified,N,
sorry,Unidentified,N,
DeathHiddenTear v2,Unidentified,N,
RDWF,Unidentified,N,
vash,Unidentified,N,
risk,Unidentified,N,
jdyi,Unidentified,N,
lurk,Unidentified,N,
EdgeLocker,Unidentified,N,
GG,Unidentified,N,
UKCZA,Unidentified,N,
Paymen45,Unidentified,N,
PhoneNumber,Unidentified,N,
jack,Unidentified,N,
nytom,Unidentified,N,
paymds,Unidentified,N,
roldat,Unidentified,N,
MRCR1,CrySiS,N,
saverswasted,Unidentified,N,
BARRACUDA,Unidentified,N,
xort,Unidentified,N,
cmd,Unidentified,Y,Batchfile(OS/2)
guesswho,Unidentified,N,
l0cked,Unidentified,N,
THANATOS,Unidentified,N,
*wasted_info,Unidentified,N,
Coin Locker,Unidentified,N,
NHCR,Unidentified,N,
Galacti-Crypter,Unidentified,N,
 vesrato,Unidentified,N,
kratos,HiddenTear,N,
AVco3,Unidentified,N,
ARTEMY,Unidentified,N,
paymst,Samas/SamSam,N,
me*,Unidentified,N,
bbqb,Unidentified,N,
locked3,Unidentified,N,
ducueyuav,Unidentified,N,
ALNBR,Unidentified,N,
*GLADIUS,Unidentified,N,
CerBerSysLocked0009881,Unidentified,N,
cesar,Unidentified,N,
BadBlock,Unidentified,N,
lxhlp,Unidentified,N,
Encrypted5,Unidentified,N,
Ordinal,Unidentified,N,
thunder,Unidentified,N,
btc -help-you,Unidentified,N,
Blooper,Unidentified,N,
CXK-NMSL,Unidentified,N,
ru]*,Unidentified,N,
trosak,Unidentified,N,
4rw5w,Unidentified,N,
Z9,Unidentified,N,
bleep,Unidentified,N,
LonleyEncryptedFile,Unidentified,N,
Iexei8bo,Unidentified,N,
BTCamant,Unidentified,N,
petra,Unidentified,N,
b00m,Unidentified,N,
AutoLocky,Unidentified,N,
wnry,Unidentified,N,
HeroesOftheStorm,Unidentified,N,
Crypt0r,Unidentified,N,
Extortion Scam,Unidentified,N,
R980,Unidentified,N,
RarVault,Unidentified,N,
pluto,Unidentified,N,
CIFGKSAFFSFYGHD,Unidentified,N,
happy new year,Unidentified,N,
vassago,Unidentified,N,
GodLock,Unidentified,N,
Zekwacrypt,Unidentified,N,
101,Unidentified,N,
ZQ,Unidentified,N,
FREDD,Unidentified,N,
b007,Unidentified,N,
rekt,TeslaCrypt,N,
wbxd,Unidentified,N,
gyga,Unidentified,N,
2048,Unidentified,N,
itunes,Unidentified,N,
Zoldon,Unidentified,N,
MERRY,Malware,N,
locklock,HiddenTear,N,
NOV,Unidentified,N,
hydracrypt_ID*,Unidentified,N,
MaMo434376,Unidentified,N,
mht,Unidentified,Y,MSMHTMLDocument
Dexter,Evil-JS,N,
cryptojoker,Unidentified,N,
secure,Unidentified,N,
MOLE,Unidentified,N,
GPCode,Unidentified,N,
horsedeal,Unidentified,N,
TrueCrypter,Unidentified,N,
VIVELAG,Unidentified,N,
Networklock,Unidentified,N,
CryptoPokemon,Unidentified,N,
Karmen,Unidentified,N,
zeronine,Unidentified,N,
org,Unidentified,Y,Calendarfile(LotusOrganizer)
u'BUYUNLOCKCODE,Unidentified,N,
txt,Unidentified,Y,Textfile
BI_ID,Unidentified,N,
Jumper,Unidentified,N,
iwanthelpuuu,Unidentified,N,
crypted_pony_test_build*,Unidentified,N,
ipygh,Unidentified,N,
covid19,Phishing,N,
2du1mj8,Unidentified,N,
RansomCuck,Unidentified,N,
GrujaRS,Unidentified,N,
MAFIA,Unidentified,N,
WHY,Unidentified,N,
frend,Unidentified,N,
luckyday,Unidentified,N,
noproblemwedecfiles​,Jigsaw,N,
jpg,Unidentified,Y,Bitmapgraphics(JointPhotographyExpertsGroup)
CIOP,Unidentified,N,
isis,Unidentified,N,
blocking,Unidentified,N,
Bill_Clinton@derpymailorg,Unidentified,N,
locked,CryptXXX,N,
crypt2019,Unidentified,N,
Gefest3,Unidentified,N,
1999,Unidentified,N,
kodg,Unidentified,N,
TGIF,Unidentified,N,
rooe,Unidentified,N,
nppp,Unidentified,N,
locker,Unidentified,N,
npph,Unidentified,N,
XINOF,Unidentified,N,
root,Unidentified,N,
Alcatraz,Unidentified,N,
MOTD,Unidentified,N,
XMEYU,Unidentified,N,
serpent,Chip,N,
dolphin,Unidentified,N,
2020END,Unidentified,N,
